elemszam;generalas_ms;fajl_iras_ms
200000;1.000;0.000
400000;5.000;0.000
600000;4.000;0.000
800000;7.000;0.000
1000000;9.000;0.000
1200000;12.000;0.000
1400000;13.000;0.000
1600000;14.000;0.000
1800000;16.000;0.000
2000000;18.000;0.000
